Identifier,Record_URL,RecordDownload_URL,Thumbnail_URL,Business_Name,Record_Title,Business_Type,Notable_Graphics,Transcribed_Text,Colors,Subjects_LCSH,StreetAddress,City,County ,State,Country,Latitude,Longitude,Collection_Title,Rights
1402254,https://collections.lib.utah.edu/ark:/87278/s6935615,https://collections.lib.utah.edu/file?id=1402254,https://collections.lib.utah.edu/dl_thumbs/52/f0/52f0ccc8717abb1d35b09c65394f0f0b80af9039.jpg,Arrow Press,"Arrow Press matchbook, Salt Lake City, Utah",Office equipment and supplies,,"Arrow Press, founded 1877, incorprated 1897; Printing, Binding, Engraving, Office Furniture, FIling Equipment",Brown with pink text,Advertising; Graphic arts; Office equipment and supplies,62 W. 2nd South,Salt Lake City,Salt Lake County,Utah,United States,40.7739865,-111.8932661,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402255,https://collections.lib.utah.edu/ark:/87278/s65b4fcb,https://collections.lib.utah.edu/file?id=1402255,https://collections.lib.utah.edu/dl_thumbs/77/f1/77f1f581a7adc7212212374c11e16d341869e403.jpg,Amy's,"Amy's matchbook, Salt Lake City, Utah",Candy Store,,"Always a friendly welcome; Amy's; Magazine Shop, Confectionery; Merry Christmas, Happy New Year","White background, red and green text and sled graphics",Advertising; Graphic arts; Candy,70 West 1st South,Salt Lake City,Salt Lake County,Utah,United States,40.7188354,-111.8882691,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402256,https://collections.lib.utah.edu/ark:/87278/s61k3pnm,https://collections.lib.utah.edu/file?id=1402256,https://collections.lib.utah.edu/dl_thumbs/87/c9/87c90359e40d3f0d476931e1ce05e75d77a9fff6.jpg,Aleck's Broiler,"Al's Bar Mix Store matchbook, Salt Lake City, Utah",Restaurants,Steak,"The Home of Sizzling Steaks. Table d Hote A la Carte. John B. Rosetto and Phillip Anton, Props. ",White with green graphics,Advertising; Graphic arts; Restaurants,46 West Broadway,Salt Lake City,Salt Lake County,Utah,United States,40.7630882,-111.8925718,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402257,https://collections.lib.utah.edu/ark:/87278/s6wt362c,https://collections.lib.utah.edu/file?id=1402257,https://collections.lib.utah.edu/dl_thumbs/2f/c4/2fc4741174732a127d50328bdf039eb3af159683.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [8]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Orange with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402258,https://collections.lib.utah.edu/ark:/87278/s6s22fbz,https://collections.lib.utah.edu/file?id=1402258,https://collections.lib.utah.edu/dl_thumbs/cc/4e/cc4e7567ee81a073bab50df666c4fa5d965ea6de.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [3]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Light blue with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402259,https://collections.lib.utah.edu/ark:/87278/s6n91pm7,https://collections.lib.utah.edu/file?id=1402259,https://collections.lib.utah.edu/dl_thumbs/9c/52/9c52dbb2c90c5388b179b93ec6b1d394595b8dac.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [7]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Green with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402260,https://collections.lib.utah.edu/ark:/87278/s6hm9n7s,https://collections.lib.utah.edu/file?id=1402260,https://collections.lib.utah.edu/dl_thumbs/8a/61/8a6121da74b503680d4b4625fd47f0c57c44fdb9.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [4]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Red with white text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402261,https://collections.lib.utah.edu/ark:/87278/s6cv8wkz,https://collections.lib.utah.edu/file?id=1402261,https://collections.lib.utah.edu/dl_thumbs/01/5e/015e920b457c8e047715aab9054c22bd5ab8c921.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [5]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Blue with white text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402262,https://collections.lib.utah.edu/ark:/87278/s68384wc,https://collections.lib.utah.edu/file?id=1402262,https://collections.lib.utah.edu/dl_thumbs/08/6a/086a7217d038653c6495afcb4d6c67d80c50d6f5.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [2]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Light teal blue with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402263,https://collections.lib.utah.edu/ark:/87278/s64b7d6h,https://collections.lib.utah.edu/file?id=1402263,https://collections.lib.utah.edu/dl_thumbs/1c/3f/1c3f468bf753b7b88618817d14e4eaca18a9c67e.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [6]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Yellow with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402264,https://collections.lib.utah.edu/ark:/87278/s60k6ndw,https://collections.lib.utah.edu/file?id=1402264,https://collections.lib.utah.edu/dl_thumbs/c0/ba/c0ba2535c5e1cdc22e0ea68e3ac218f00b23fd09.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [10]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Hot pink with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402265,https://collections.lib.utah.edu/ark:/87278/s6vt64xk,https://collections.lib.utah.edu/file?id=1402265,https://collections.lib.utah.edu/dl_thumbs/37/48/374820757d638aa6ce08bca7824efb5cd1d83d89.jpg,American Auto Parts,"American Auto Parts matchbook, Salt Lake City, Utah [9]",Automobile Equipment and Supplies Stores,Graphic of auto parts,Open 7 days a week for your convenience; American Auto Parts; Open 5 a.m. to 10 p.m.,Pink with silver text,Advertising; Graphic arts; Automobile equipment & supplies stores,2575 So. State,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402266,https://collections.lib.utah.edu/ark:/87278/s6r25d71,https://collections.lib.utah.edu/file?id=1402266,https://collections.lib.utah.edu/dl_thumbs/a8/01/a8013a1f764287b03456932b9efbc7a522ccd872.jpg,ACME,ACME matchbook,Supermarkets,,,White with red and blue graphics,Advertising; Graphic arts; Supermarkets,,,,,,,,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402267,https://collections.lib.utah.edu/ark:/87278/s6md3bvq,https://collections.lib.utah.edu/file?id=1402267,https://collections.lib.utah.edu/dl_thumbs/ba/2e/ba2e360d8237166829a4e8c629fa930f63d8cac7.jpg,AAA Springs,"AAA Springs matchbook, Salt Lake City, Utah [1]",Automobile Equipment and Supplies Stores,,"Auto Truck Trailers, sales and installation, manufacture and installation",Tan with black text,Advertising; Graphic arts; Automobile equipment & supplies stores,2900 S. 995 W,Salt Lake City,Salt Lake County,Utah,United States,40.7078669,-111.9190027,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402268,https://collections.lib.utah.edu/ark:/87278/s6gn2m4d,https://collections.lib.utah.edu/file?id=1402268,https://collections.lib.utah.edu/dl_thumbs/d5/c2/d5c295e91889b5f982c3d5de3da899b170c64f5f.jpg,AAA Springs,"AAA Springs matchbook, Salt Lake City, Utah [2]",Automobile Equipment and Supplies Stores,,"Auto Truck Trailers, sales and installation, manufacture and installation",Light teal with black text,Advertising; Graphic arts; Automobile equipment & supplies stores,2900 S. 995 W,Salt Lake City,Salt Lake County,Utah,United States,40.7078669,-111.9190027,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402269,https://collections.lib.utah.edu/ark:/87278/s6bw1vh1,https://collections.lib.utah.edu/file?id=1402269,https://collections.lib.utah.edu/dl_thumbs/2c/66/2c6690a68be6911ededbebfd1440fde034e86c83.jpg,Airport Coffee Shop,"Airport Coffee Shop matchbook, Salt Lake City, Utah",Restaurants,Couple at dinning table,"Airport Coffee Shop, Salt Lake Municipal Airport, 6:00 A.M. 'till 1:00 A.M.",Green with yellow text and graphics,Advertising; Graphic arts; Restaurants,Salt Lake Municipal Airport,Salt Lake City,Salt Lake County,Utah,United States,40.7899404,-111.9790706,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402270,https://collections.lib.utah.edu/ark:/87278/s67413s0,https://collections.lib.utah.edu/file?id=1402270,https://collections.lib.utah.edu/dl_thumbs/44/ed/44ed639e77f205e862f602e27dd2eb3022c8664b.jpg,American Savings and Loan,"American Savings and Loan matchbook, Salt Lake City, Utah",Consumer finance companies,,"AmeriClub where your $7,000 can make you feel like a million",White with blue and red text,Advertising; Graphic arts; Consumer finance companies,63 South Main Street,Salt Lake City,Salt Lake County,Utah,United States,40.7679148,-111.8905665,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402273,https://collections.lib.utah.edu/ark:/87278/s63c0c0s,https://collections.lib.utah.edu/file?id=1402273,https://collections.lib.utah.edu/dl_thumbs/8b/66/8b66bf8ee87ad3d9cb5a1998546e7bd93c13b618.jpg,American Motor Hotel Association ,American Motor Hotel Association matchbook,Hotels,,"Welcome to 14th Annual Convention A.M.H.A. Salt Lake City, Utah, September 28th, 1956.",,Advertising; Graphic arts; Hotels,,Salt Lake City,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402276,https://collections.lib.utah.edu/ark:/87278/s6zk9vhj,https://collections.lib.utah.edu/file?id=1402276,https://collections.lib.utah.edu/dl_thumbs/ec/87/ec87f53e27406fe13328548e70c86492033fad44.jpg,Aviation Club of Utah,"Aviation Club of Utah matchbook, Salt Lake City, Utah",Aviation,,"Luncheons and Dinners Served Daily, Complete Catering Service, Closed Sundays",,Advertising; Graphic arts; Aviation,610 East South Temple,Salt Lake City,Salt Lake County,Utah,United States,40.768903,-111.873493,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402279,https://collections.lib.utah.edu/ark:/87278/s6tt93tn,https://collections.lib.utah.edu/file?id=1402279,https://collections.lib.utah.edu/dl_thumbs/26/44/2644f61c13b12ec94d045ee7751cfb1ade7d8bfe.jpg,Afterwords Restaurant,"Afterwords Restaurant matchbook, Salt Lake City, Utah",Restaurants,,,Green with gray text,Advertising; Graphic arts; Restaurants,1513 South 15th East,Salt Lake City,Salt Lake County,Utah,United States,40.7367456,-111.8477642,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402280,https://collections.lib.utah.edu/ark:/87278/s6q572gh,https://collections.lib.utah.edu/file?id=1402280,https://collections.lib.utah.edu/dl_thumbs/4c/5f/4c5ff368995a5ae177e72c7525bfdec759cc92cb.jpg,"A & E Generator, Inc.","A & E Generator, Inc. matchbook, Salt Lake City, Utah",Mechanic,,"Rebuilt generators, starters, regulators, solenoids, new alternators",White with black text,Advertising; Graphic arts; Mechanic,264 West 8th So.,Salt Lake City,Salt Lake County,Utah,United States,40.7628057,-111.912747,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402281,https://collections.lib.utah.edu/ark:/87278/s6kd69s7,https://collections.lib.utah.edu/file?id=1402281,https://collections.lib.utah.edu/dl_thumbs/46/c1/46c137f40620a8a3f859417745d74b9370932287.jpg,Alta Club,"Alta Club matchbook, Salt Lake City, Utah [3]",Athletic Clubs,Alta Club emblem,"Alta Club, Salt Lake City, Utah",Red with grey text,Advertising; Graphic arts; Athletic Clubs,100 E S Temple,Salt Lake City,Salt Lake County,Utah,United States,40.7690775,-111.8877396,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402282,https://collections.lib.utah.edu/ark:/87278/s6fn5k3c,https://collections.lib.utah.edu/file?id=1402282,https://collections.lib.utah.edu/dl_thumbs/9d/f0/9df06f22d6c134368277a5052128b0174b75ae89.jpg,Alta Club,"Alta Club matchbook, Salt Lake City, Utah [2]",Athletic Clubs,Alta Club emblem,"Alta Club, Salt Lake City, Utah",Blue with white text,Advertising; Graphic arts; Athletic Clubs,100 E S Temple,Salt Lake City,Salt Lake County,Utah,United States,40.7690775,-111.8877396,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402283,https://collections.lib.utah.edu/ark:/87278/s69w4tcn,https://collections.lib.utah.edu/file?id=1402283,https://collections.lib.utah.edu/dl_thumbs/ad/d5/add592f8f42db15c5da3681f7409590f4dd10bf2.jpg,Alta Club,"Alta Club matchbook, Salt Lake City, Utah [4]",Athletic Clubs,Alta Club emblem,"Alta Club, Salt Lake City, Utah",Dark green/gray with white text,Advertising; Graphic arts; Athletic Clubs,100 E S Temple,Salt Lake City,Salt Lake County,Utah,United States,40.7690775,-111.8877396,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402284,https://collections.lib.utah.edu/ark:/87278/s66442j8,https://collections.lib.utah.edu/file?id=1402284,https://collections.lib.utah.edu/dl_thumbs/db/53/db53d26731e400c7c0f65b3ad82ba271c000151a.jpg,Al's Inn,"Aleck's Broiler matchbook, Salt Lake City, Utah [2]",Restaurants,Plate of noodles,Always a friendly welcome,Blue and black with black text,Advertising; Graphic arts; Restaurants,8413 W 2700 S,Magna,Salt Lake County,Utah,United States,40.7112202,-112.0921149,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402287,https://collections.lib.utah.edu/ark:/87278/s62c39v0,https://collections.lib.utah.edu/file?id=1402287,https://collections.lib.utah.edu/dl_thumbs/92/67/92676b4f8ab9a53d716aa382ca8daa1f1946b0e4.jpg,Al's Sunset Cafe & Tavern,"Aleck's Cave and Broiler matchbook, Salt Lake City, Utah",Bars,Chef with food,Hunger removed,Blue and silver with silver text,Advertising; Graphic arts; Bars,,Cedar City,Iron County,Utah,United States,37.6774769,-113.0618931,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402288,https://collections.lib.utah.edu/ark:/87278/s6xm2tcq,https://collections.lib.utah.edu/file?id=1402288,https://collections.lib.utah.edu/dl_thumbs/51/ec/51ececdabe77f2f559a49c3eac6c53c9a5cfac9d.jpg,Al's Bar Mix Store,"Aleck's Broiler matchbook, Salt Lake City, Utah [1]",Bars,Graphic of woman in high heels drinking from oversize cocktail,"Al's Bar Mix Store, Bar Accesories, All Mixers; Hurry Back!; Bottom's Up",,Advertising; Graphic arts; Bars,"167 East 2nd, South",Salt Lake City,Salt Lake County,Utah,United States,40.7717091,-111.8851937,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402291,https://collections.lib.utah.edu/ark:/87278/s6sz0s18,https://collections.lib.utah.edu/file?id=1402291,https://collections.lib.utah.edu/dl_thumbs/bd/90/bd905bd3541d7dd53ec649e5a26ff9db35827f83.jpg,Alta Club,"Alta Club matchbook, Salt Lake City, Utah [1]",Athletic Clubs,Alta Club emblem,"Alta Club, Salt Lake City, Utah",Blue with white text,Advertising; Graphic arts; Athletic Clubs,100 E S Temple,Salt Lake City,Salt Lake County,Utah,United States,40.7690775,-111.8877396,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402294,https://collections.lib.utah.edu/ark:/87278/s6p601c4,https://collections.lib.utah.edu/file?id=1402294,https://collections.lib.utah.edu/dl_thumbs/ea/b3/eab308121403aac14dea19f1f8c5b49d79b63879.jpg,Alta Club,"Alta Club matchbook, Salt Lake City, Utah [5]",Athletic Clubs,Alta Club emblem,"Alta Club, Salt Lake City, Utah",Red with white text,Advertising; Graphic arts; Athletic Clubs,100 E S Temple,Salt Lake City,Salt Lake County,Utah,United States,40.7690775,-111.8877396,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402297,https://collections.lib.utah.edu/ark:/87278/s6jd98nv,https://collections.lib.utah.edu/file?id=1402297,https://collections.lib.utah.edu/dl_thumbs/60/c4/60c4f87f2b89116c2624699d700db52af1248382.jpg,Ambassador Athletic Club,"Ambassador Athletic Club matchbook, Salt Lake City, Utah [4]",Athletic Clubs,"Emblem with an ""A"" and a lion, a building","The Ambassador ""America's Host""",Blue and purple with gold and white text,Advertising; Graphic arts; Athletic Clubs,145 S 500 E,Salt Lake City,Salt Lake County,Utah,United States,40.7659906,-111.8759619,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
